id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
50,1025 Merner Rd,4.5,4.0,Hillsborough,"2,960 sqft","Oct 15, 2013","$2,550,000",37.549965,-122.344864,CA,Single-Family Home,2550000,"$3,536,000",94010,Hillsborough Park,,,Sold,SAN MATEO
51,586 Laurent Rd,2.0,3.0,Hillsborough,"2,820 sqft","Oct 10, 2013","$2,450,000",37.559185,-122.37192,CA,Single-Family Home,2450000,"$2,421,000",94010,Carolands,,,Sold,SAN MATEO
52,35 Southdown Ct,2.5,3.0,Hillsborough,"4,190 sqft","Oct 1, 2013","$3,600,000",37.544346,-122.35383,CA,Single-Family Home,3600000,"$3,365,000",94010,Lakeview,,,Sold,SAN MATEO
53,1820 Brookvale Rd,3.0,4.0,Hillsborough,"4,140 sqft","Sep 30, 2013","$4,550,000",37.57531,-122.361275,CA,Single-Family Home,4550000,"$5,516,000",94010,Country Club Manor,,,Sold,SAN MATEO
54,34 Roberts Way,4.0,4.0,Hillsborough,"3,480 sqft","Sep 27, 2013","$3,200,000",37.548786,-122.36511,CA,Single-Family Home,3200000,"$3,265,000",94010,Carolands,,,Sold,SAN MATEO
55,560 Barbara Way,3.0,3.0,Hillsborough,"3,270 sqft","Sep 26, 2013","$2,925,000",37.55352,-122.37406,CA,Single-Family Home,2925000,"$3,728,000",94010,Carolands,,,Sold,SAN MATEO
56,620 Darrell Rd,3.0,4.0,Hillsborough,"2,430 sqft","Sep 26, 2013","$2,200,000",37.55423,-122.37606,CA,Single-Family Home,2200000,"$2,464,000",94010,Carolands,,,Sold,SAN MATEO
57,333 El Cerrito Ave,4.5,5.0,Hillsborough,"3,590 sqft","Sep 24, 2013","$3,468,000",37.561623,-122.33849,CA,Single-Family Home,3468000,"$3,195,000",94010,Brewer Subdivision,,,Sold,SAN MATEO
58,2845 Summit Dr,2.5,3.0,Hillsborough,"3,190 sqft","Sep 24, 2013","$3,250,000",37.569992,-122.38715,CA,Single-Family Home,3250000,"$3,102,000",94010,Hillsborough Hills,,,Sold,SAN MATEO
59,1070 Macadamia Dr,3.5,4.0,Hillsborough,"3,830 sqft","Sep 24, 2013","$3,165,000",37.572025,-122.38245,CA,Single-Family Home,3165000,"$3,991,000",94010,Skyfarm,,,Sold,SAN MATEO
60,1045 Bridle Way,2.5,3.0,Hillsborough,"2,700 sqft","Sep 23, 2013","$2,350,000",37.547974,-122.33064,CA,Single-Family Home,2350000,"$2,752,000",94010,Tobin Clark Estate,,,Sold,SAN MATEO
61,2112 Carmelita Ave,1.0,3.0,Hillsborough,"1,570 sqft","Sep 17, 2013","$1,420,000",37.57861,-122.36828,CA,Single-Family Home,1420000,"$1,589,000",94010,Easton Addition,,,Sold,SAN MATEO
62,2125 Ralston Ave,5.5,3.0,Hillsborough,"4,860 sqft","Sep 10, 2013","$11,500,000",37.57015,-122.35742,CA,Single-Family Home,11500000,"$4,532,000",94010,Homeplace,,,Sold,SAN MATEO
63,10 Falkirk Ln,4.5,4.0,Hillsborough,"3,710 sqft","Sep 10, 2013","$2,450,000",37.543945,-122.355774,CA,Single-Family Home,2450000,"$3,413,000",94010,Lakeview,,,Sold,SAN MATEO
