id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
32,1043 Scenic Dr,,,Felton,633 sqft,"Oct 2, 2013","$315,000",37.03167,-122.07467,CA,Single-Family Home,315000,"$373,000",95018,,,,Sold,SANTA CRUZ
33,9429 E Zayante Rd,1.0,1.0,Felton,748 sqft,"Sep 26, 2013","$280,000",37.08768,-122.04611,CA,Single-Family Home,280000,"$272,000",95018,,,,Sold,SANTA CRUZ
34,654 Redwood Rd,,,Felton,640 sqft,"Sep 25, 2013","$225,000",37.034187,-122.07358,CA,Single-Family Home,225000,"$306,000",95018,,,,Sold,SANTA CRUZ
35,899 Brookside Dr,1.0,2.0,Felton,836 sqft,"Sep 11, 2013","$490,000",37.03888,-122.083885,CA,Single-Family Home,490000,"$411,000",95018,,,,Sold,SANTA CRUZ
36,460 Prospect Ave,2.0,2.0,Felton,"1,413 sqft","Sep 9, 2013","$560,000",37.038525,-122.077614,CA,Single-Family Home,560000,"$524,000",95018,,,,Sold,SANTA CRUZ
37,415 Gold Ave,1.0,2.0,Felton,848 sqft,"Sep 6, 2013","$379,000",37.03632,-122.07556,CA,Single-Family Home,379000,"$422,000",95018,,,,Sold,SANTA CRUZ
38,7725 W Zayante Rd,,3.0,Felton,"2,448 sqft","Sep 6, 2013","$400,000",37.066647,-122.059,CA,Single-Family Home,400000,"$499,000",95018,,,,Sold,SANTA CRUZ
39,211 Madrone Dr,1.5,3.0,Felton,"2,772 sqft","Aug 30, 2013","$399,000",37.032043,-122.06675,CA,Single-Family Home,399000,"$507,000",95018,,,,Sold,SANTA CRUZ
40,867 Hillcrest Dr,,,Felton,801 sqft,"Aug 29, 2013","$180,000",37.040966,-122.08124,CA,Single-Family Home,180000,"$389,000",95018,,,,Sold,SANTA CRUZ
41,11660 Edgewood Dr,1.0,2.0,Felton,770 sqft,"Aug 27, 2013","$275,000",37.103214,-122.044975,CA,Single-Family Home,275000,"$380,000",95018,,,,Sold,SANTA CRUZ
42,126 Olympia Station Rd,2.0,4.0,Felton,"2,271 sqft","Aug 23, 2013","$540,000",37.07323,-122.05573,CA,Single-Family Home,540000,"$609,000",95018,,,,Sold,SANTA CRUZ
43,191 River Ln,2.0,3.0,Felton,"2,536 sqft","Aug 20, 2013","$499,000",37.03831,-122.064835,CA,Single-Family Home,499000,"$612,000",95018,,,,Sold,SANTA CRUZ
44,554 Madrona Ave,1.0,2.0,Felton,,"Aug 15, 2013","$857,500",37.03743,-122.07896,CA,Multi-Family,857500,,95018,,,,Sold,SANTA CRUZ
45,7234 Highway 9,1.0,,Felton,735 sqft,"Aug 15, 2013","$80,000",37.0642,-122.07932,CA,Single-Family Home,80000,"$363,000",95018,,,,Sold,SANTA CRUZ
46,425 Carrol Ave,1.0,4.0,Felton,842 sqft,"Aug 14, 2013","$320,000",37.104954,-122.04957,CA,Single-Family Home,320000,"$353,000",95018,,,,Sold,SANTA CRUZ
47,777 Felton Empire Rd,2.0,3.0,Felton,"1,026 sqft","Aug 9, 2013","$437,500",37.049732,-122.08132,CA,Single-Family Home,437500,"$465,000",95018,,,,Sold,SANTA CRUZ
48,556 Redwood Rd,3.0,3.0,Felton,"1,625 sqft","Aug 2, 2013","$386,000",37.035625,-122.07317,CA,Single-Family Home,386000,"$479,000",95018,,,,Sold,SANTA CRUZ
49,655 Toll House Gulch Rd,2.0,4.0,Felton,"2,048 sqft","Jul 31, 2013","$463,000",37.02773,-122.071625,CA,Farm/Ranch,463000,"$533,000",95018,,,,Sold,SANTA CRUZ
50,180 Valhalla Way,2.5,3.0,Felton,"2,365 sqft","Jul 30, 2013","$739,000",37.043068,-122.09075,CA,Farm/Ranch,739000,"$840,000",95018,,,,Sold,SANTA CRUZ
51,541 Manzanita Ave,2.0,3.0,Felton,"1,830 sqft","Jul 29, 2013","$59,500",37.03633,-122.07796,CA,Single-Family Home,59500,"$499,000",95018,,,,Sold,SANTA CRUZ
52,360 Carrol Ave,1.0,2.0,Felton,"1,079 sqft","Jul 25, 2013","$275,000",37.103798,-122.04966,CA,Single-Family Home,275000,"$351,000",95018,,,,Sold,SANTA CRUZ
53,825 Lost Acre Dr,3.0,4.0,Felton,"2,185 sqft","Jul 23, 2013","$610,000",37.04286,-122.08204,CA,Farm/Ranch,610000,"$684,000",95018,,,,Sold,SANTA CRUZ
54,681 Felton Empire Rd,1.0,2.0,Felton,895 sqft,"Jul 23, 2013","$510,000",37.050205,-122.08038,CA,Single-Family Home,510000,"$465,000",95018,,,,Sold,SANTA CRUZ
55,525 West Dr,3.0,3.0,Felton,"1,330 sqft","Jul 19, 2013","$342,000",37.104935,-122.05568,CA,Single-Family Home,342000,"$549,000",95018,,,,Sold,SANTA CRUZ
56,230 Lazywoods Rd,1.0,2.0,Felton,"1,088 sqft","Jul 15, 2013","$214,500",37.066765,-122.07801,CA,Single-Family Home,214500,"$474,000",95018,,,,Sold,SANTA CRUZ
57,195 Quail Hollow Rd,2.0,3.0,Felton,"1,189 sqft","Jul 9, 2013","$420,000",37.07479,-122.05708,CA,Farm/Ranch,420000,"$490,000",95018,,,,Sold,SANTA CRUZ
58,10585 Redwood Dr,1.0,2.0,Felton,"1,304 sqft","Jul 8, 2013","$325,000",37.102993,-122.05523,CA,Farm/Ranch,325000,"$328,000",95018,,,,Sold,SANTA CRUZ
59,10420 Vera Ave,1.0,1.0,Felton,"1,088 sqft","Jul 2, 2013","$289,000",37.101208,-122.054985,CA,Single-Family Home,289000,"$358,000",95018,,,,Sold,SANTA CRUZ
60,7343 Hacienda Way,2.5,3.0,Felton,"2,393 sqft","Jul 1, 2013","$325,000",37.065716,-122.0813,CA,Single-Family Home,325000,"$628,000",95018,,,,Sold,SANTA CRUZ
61,12436 Retrato St,1.0,3.0,Felton,"1,056 sqft","Jun 24, 2013","$350,000",37.11111,-122.04587,CA,Single-Family Home,350000,"$407,000",95018,,,,Sold,SANTA CRUZ
62,1685 Mclellan Rd,2.0,3.0,Felton,"1,730 sqft","Jun 24, 2013","$545,000",37.031837,-122.08504,CA,Single-Family Home,545000,"$565,000",95018,,,,Sold,SANTA CRUZ
