id,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,zipCode,neighborhood,walkScore,transitScore,status,county
1,25 Southgate St,6.0,3.0,Redwood City,"1,420 sqft","Dec 31, 1969",$0,37.477383,-122.24683,CA,Single-Family Home,998000,,94062,Oak Knoll - Redwood Park,40,,For Sale,SAN MATEO
2,2651 Briarfield Ave,2.0,3.0,Redwood City,"1,767 sqft","Dec 31, 1969",$0,37.46223,-122.24361,CA,Single-Family Home,1199000,,94061,Roosevelt,60,,For Sale,SAN MATEO
3,1049 16th Ave,2.0,3.0,Redwood City,"1,810 sqft","Dec 31, 1969",$0,37.48333,-122.18726,CA,Single-Family Home,789000,,94063,Friendly Acres,42,,For Sale,SAN MATEO
4,143 Oakdale St,4.0,4.0,Redwood City,"3,050 sqft","Dec 31, 1969",$0,37.48912,-122.245026,CA,Single-Family Home,1795000,,94062,Oak Knoll - Redwood Park,62,,For Sale,SAN MATEO
5,25 Colton Ct,7.0,6.0,Redwood City,"6,315 sqft","Dec 31, 1969",$0,37.459435,-122.27609,CA,Single-Family Home,3098000,,94062,Farm Hill,8,,For Sale,SAN MATEO
6,30 Palomar Oaks Ln,6.0,5.0,Redwood City,"3,970 sqft","Dec 31, 1969",$0,37.476837,-122.263374,CA,Single-Family Home,2550000,,94062,,37,,For Sale,SAN MATEO
7,2111 Hastings Shore Ln,2.0,2.0,Redwood City,"1,048 sqft","Dec 31, 1969",$0,37.524273,-122.25145,CA,Condo,600000,,94065,Redwood Shores,62,,For Sale,SAN MATEO
8,525 Hurlingame Ave,1.0,3.0,Redwood City,"1,020 sqft","Dec 31, 1969",$0,37.478436,-122.21063,CA,Single-Family Home,539000,,94063,,83,,For Sale,SAN MATEO
9,1181 Fernside St,2.0,3.0,Redwood City,"1,310 sqft","Dec 31, 1969",$0,37.460693,-122.24619,CA,Single-Family Home,899000,,94061,Farm Hill,57,,For Sale,SAN MATEO
10,3065 Whisperwave Cir,3.0,4.0,Redwood City,"2,003 sqft","Dec 31, 1969",$0,37.5471,-122.24037,CA,Single-Family Home,1295000,,94065,Redwood Shores,23,,For Sale,SAN MATEO
11,1140 Truman St,2.0,3.0,Redwood City,"1,800 sqft","Dec 31, 1969",$0,37.464664,-122.24046,CA,Single-Family Home,1195000,,94061,Woodside Plaza,66,,For Sale,SAN MATEO
12,2824 Devonshire Ave,,,Redwood City,"3,315 sqft","Dec 31, 1969",$0,37.47189,-122.21163,CA,Multi-Family Home,998888,,94063,,75,,For Sale,SAN MATEO
13,423 Compass Dr,3.0,5.0,Redwood City,"2,392 sqft","Dec 31, 1969",$0,37.5291,-122.253204,CA,Single-Family Home,1599995,,94065,Redwood Shores,54,,For Sale,SAN MATEO
14,370 Upland Rd,5.0,7.0,Redwood City,"4,360 sqft","Dec 31, 1969",$0,37.477497,-122.25528,CA,Single-Family Home,2295000,,94062,Oak Knoll - Redwood Park,45,,For Sale,SAN MATEO
15,1161 Hudson St,,,Redwood City,"3,180 sqft","Dec 31, 1969",$0,37.473267,-122.230934,CA,Multi-Family Home,850000,,94061,Roosevelt,65,,For Sale,SAN MATEO
16,15 Spinnaker Pl,7.0,2.0,Redwood City,"1,696 sqft","Dec 31, 1969",$0,37.531853,-122.24958,CA,Apt/Condo/Twnhm,1088000,,94065,Redwood Shores,43,,For Sale,SAN MATEO
17,1153 Hudson St,,,Redwood City,"3,180 sqft","Dec 31, 1969",$0,37.473366,-122.23106,CA,Multi-Family Home,850000,,94061,Roosevelt,65,,For Sale,SAN MATEO
18,1081 Rockport Ave,3.0,4.0,Redwood City,"2,360 sqft","Dec 31, 1969",$0,37.54613,-122.23589,CA,Single-Family Home,1399000,,94065,Redwood Shores,23,,For Sale,SAN MATEO
19,36 Laurel St,2.0,3.0,Redwood City,"1,422 sqft","Dec 31, 1969",$0,37.47638,-122.220345,CA,Single-Family Home,650000,,94063,Redwood Village,80,,For Sale,SAN MATEO
20,848 Newport Cir,3.0,4.0,Redwood City,"1,890 sqft","Dec 31, 1969",$0,37.53653,-122.24796,CA,Single-Family Home,1499941,,94065,Redwood Shores,32,,For Sale,SAN MATEO
