94108,930 Pine St #104,1,1,San Francisco,700 sqft,18-Oct-13,"$600,000 ",37.79107,-122.411316,CA,Condo,600000,"$672,000 ",,Downtown,,,Sold,SAN FRANCISCO
94115,2465 Washington St,3,2,San Francisco,"2,885 sqft",18-Oct-13,"$3,000,000 ",37.791435,-122.43379,CA,Single-Family Home,3000000,"$3,144,000 ",,Pacific Heights,,,Sold,SAN FRANCISCO
94107,6 Scott Aly,1,,San Francisco,"1,092 sqft",18-Oct-13,"$700,000 ",37.77983,-122.40218,CA,Condo,700000,"$787,000 ",,SoMa,,,Sold,SAN FRANCISCO
94117,500 Masonic Ave #4,,,San Francisco,"1,212 sqft",18-Oct-13,"$975,000 ",37.77655,-122.446304,CA,Condo,975000,"$1,037,000 ",,North Park,,,Sold,SAN FRANCISCO
94112,137 Santa Rosa Ave,1,,San Francisco,"1,175 sqft",18-Oct-13,"$868,000 ",37.726906,-122.43678,CA,Single-Family Home,868000,"$849,000 ",,Mission Terrace,,,Sold,SAN FRANCISCO
94103,111 Gilbert St #1,,,San Francisco,"1,473 sqft",18-Oct-13,"$850,000 ",37.773235,-122.40209,CA,Condo,850000,"$934,000 ",,Mission Bay,,,Sold,SAN FRANCISCO
94116,2479 18th Ave,1,2,San Francisco,"1,325 sqft",18-Oct-13,"$901,000 ",37.741634,-122.47485,CA,Single-Family Home,901000,"$1,011,000 ",,Inner Parkside,,,Sold,SAN FRANCISCO
94115,3110 California St #1,2,2,San Francisco,"1,059 sqft",18-Oct-13,"$950,000 ",37.787613,-122.44582,CA,Condo,950000,"$1,231,000 ",,Presidio Heights,,,Sold,SAN FRANCISCO
94115,40 Inca Ln #3,,,San Francisco,"1,145 sqft",18-Oct-13,"$760,000 ",37.783268,-122.42882,CA,Condo,760000,"$905,000 ",,Western Addition,,,Sold,SAN FRANCISCO
94112,76 Lyell St,1,1,San Francisco,678 sqft,18-Oct-13,"$525,000 ",37.731438,-122.43186,CA,Single-Family Home,525000,"$582,000 ",,Mission Terrace,,,Sold,SAN FRANCISCO
94114,1 Hoffman Ave #1D,1,,San Francisco,"1,500 sqft",18-Oct-13,"$1,110,000 ",37.75399,-122.44067,CA,Condo,1110000,"$1,207,000 ",,Noe Valley,,,Sold,SAN FRANCISCO
94111,220 Lombard St #221,,,San Francisco,648 sqft,18-Oct-13,"$485,000 ",37.804245,-122.4055,CA,Condo,485000,"$718,000 ",,Fisherman's Wharf,,,Sold,SAN FRANCISCO
94107,260 King St #575,1,1,San Francisco,908 sqft,18-Oct-13,"$685,000 ",37.77764,-122.39342,CA,Condo,685000,"$756,000 ",,Mission Bay,,,Sold,SAN FRANCISCO
94110,1628 York St,1,,San Francisco,"1,492 sqft",18-Oct-13,"$1,458,000 ",37.74711,-122.406624,CA,Single-Family Home,1458000,"$1,798,000 ",,Bernal Heights,,,Sold,SAN FRANCISCO
94114,4345 20th St #4347,3,,San Francisco,"3,000 sqft",18-Oct-13,"$1,500,000 ",37.757362,-122.43655,CA,Multi-Family,1500000,,,Castro,,,Sold,SAN FRANCISCO
94116,500 Magellan Ave,3,5,San Francisco,"2,820 sqft",18-Oct-13,"$2,350,000 ",37.744473,-122.46638,CA,Single-Family Home,2350000,"$2,560,000 ",,Forest Hill,,,Sold,SAN FRANCISCO
94112,2 Chicago Way,3,3,San Francisco,"2,169 sqft",18-Oct-13,"$856,000 ",37.709866,-122.42788,CA,Single-Family Home,856000,"$1,232,000 ",,Crocker Amazon,,,Sold,SAN FRANCISCO
94122,1723 22nd Ave,1,,San Francisco,"1,530 sqft",17-Oct-13,"$927,000 ",37.755466,-122.48011,CA,Single-Family Home,927000,"$1,029,000 ",,Central Sunset,,,Sold,SAN FRANCISCO
94107,855 Folsom St #515,,,San Francisco,838 sqft,17-Oct-13,"$1,225,000 ",37.780766,-122.402145,CA,Condo,1225000,"$1,088,000 ",,SoMa,,,Sold,SAN FRANCISCO
94112,975 Naples St,1,,San Francisco,"1,230 sqft",17-Oct-13,"$680,000 ",37.71443,-122.435684,CA,Single-Family Home,680000,"$800,000 ",,Excelsior,,,Sold,SAN FRANCISCO
94134,232 Peabody St,2,,San Francisco,"1,650 sqft",17-Oct-13,"$660,000 ",37.7091,-122.40827,CA,Single-Family Home,660000,"$793,000 ",,Visitacion Valley,,,Sold,SAN FRANCISCO
94110,112 San Jose Ave #1,2,2,San Francisco,"1,099 sqft",17-Oct-13,"$975,000 ",37.75272,-122.4218,CA,Condo,975000,"$1,217,000 ",,Noe Valley,,,Sold,SAN FRANCISCO
94123,2378 Union St #2378A,1,,San Francisco,436 sqft,17-Oct-13,"$560,000 ",37.796867,-122.438354,CA,Condo,560000,"$729,000 ",,Cow Hollow,,,Sold,SAN FRANCISCO
94131,275 Burnett Ave #4,1,1,San Francisco,694 sqft,17-Oct-13,"$510,000 ",37.756752,-122.44575,CA,Condo,510000,"$588,000 ",,Twin Peaks,,,Sold,SAN FRANCISCO
94134,98 Karen Ct,2,3,San Francisco,"1,768 sqft",17-Oct-13,"$720,000 ",37.72352,-122.4072,CA,Single-Family Home,720000,"$792,000 ",,Portola,,,Sold,SAN FRANCISCO
94114,4452 23rd St,2,3,San Francisco,"1,817 sqft",17-Oct-13,"$1,750,000 ",37.75268,-122.441795,CA,Single-Family Home,1750000,"$2,157,000 ",,Noe Valley,,,Sold,SAN FRANCISCO
94115,2096 Pine St,1,1,San Francisco,"1,239 sqft",17-Oct-13,"$750,000 ",37.78861,-122.430244,CA,Condo,750000,"$955,000 ",,Lower Pacific Heights,,,Sold,SAN FRANCISCO
94112,831 Brazil Ave,4,,San Francisco,"3,486 sqft",17-Oct-13,"$990,000 ",37.72159,-122.42777,CA,Multi-Family,990000,,,Excelsior,,,Sold,SAN FRANCISCO
94117,115 Carl St,8,,San Francisco,"4,384 sqft",17-Oct-13,"$525,000 ",37.765457,-122.4504,CA,Multi-Family,525000,,,Ashbury Heights,,,Sold,SAN FRANCISCO
94107,49 Missouri St #5,2,,San Francisco,"1,999 sqft",17-Oct-13,"$1,099,000 ",37.765923,-122.39653,CA,Condo,1099000,"$1,239,000 ",,Potrero Hill,,,Sold,SAN FRANCISCO
94121,671 45th Ave,3,3,San Francisco,"1,850 sqft",17-Oct-13,"$1,040,000 ",37.77585,-122.506256,CA,Multi-Family,1040000,,,Outer Richmond,,,Sold,SAN FRANCISCO
94121,558 22nd Ave,1,2,San Francisco,930 sqft,17-Oct-13,"$1,540,000 ",37.77722,-122.48097,CA,Single-Family Home,1540000,"$1,313,000 ",,Central Richmond,,,Sold,SAN FRANCISCO
94107,442 Mississippi St,2,3,San Francisco,"2,031 sqft",17-Oct-13,"$1,600,000 ",37.760864,-122.39473,CA,Condo,1600000,"$1,644,000 ",,Potrero Hill,,,Sold,SAN FRANCISCO
94112,149 Broad St #151,2,,San Francisco,"2,140 sqft",17-Oct-13,"$623,000 ",37.7129,-122.45782,CA,Multi-Family,623000,,,Oceanview,,,Sold,SAN FRANCISCO
94110,82 Peralta Ave,1,,San Francisco,"1,360 sqft",17-Oct-13,"$1,380,000 ",37.74784,-122.40684,CA,Single-Family Home,1380000,"$1,219,000 ",,Bernal Heights,,,Sold,SAN FRANCISCO
94116,1995 44th Ave,1,,San Francisco,"1,162 sqft",17-Oct-13,"$710,000 ",37.749462,-122.50326,CA,Single-Family Home,710000,"$810,000 ",,Outer Sunset,,,Sold,SAN FRANCISCO
94121,366 19th Ave #368,2,6,San Francisco,"2,800 sqft",17-Oct-13,"$662,500 ",37.781086,-122.47803,CA,Multi-Family,662500,,,Central Richmond,,,Sold,SAN FRANCISCO
94114,405 Hill St,5,3,San Francisco,"2,835 sqft",17-Oct-13,"$2,600,000 ",37.75535,-122.43029,CA,Single-Family Home,2600000,"$2,859,000 ",,Noe Valley,,,Sold,SAN FRANCISCO
94117,60 Delmar St #62,2,,San Francisco,"2,386 sqft",17-Oct-13,"$1,900,000 ",37.768066,-122.445496,CA,Multi-Family,1900000,,,Haight,,,Sold,SAN FRANCISCO
94112,62 Del Monte St,1,,San Francisco,"1,747 sqft",17-Oct-13,"$745,000 ",37.71601,-122.443665,CA,Single-Family Home,745000,"$823,000 ",,Outer Mission,,,Sold,SAN FRANCISCO
94122,1458 Funston Ave #1460,2,4,San Francisco,"2,874 sqft",17-Oct-13,"$1,400,000 ",37.7609,-122.47006,CA,Multi-Family,1400000,"$1,453,000 ",,Inner Sunset,,,Sold,SAN FRANCISCO
94110,1800 Bryant St #216,,,San Francisco,976 sqft,17-Oct-13,"$795,000 ",37.764088,-122.41083,CA,Condo,795000,"$882,000 ",,Mission,,,Sold,SAN FRANCISCO
94115,2185 Bush St #214,1,1,San Francisco,773 sqft,17-Oct-13,"$730,000 ",37.78659,-122.433075,CA,Condo,730000,"$765,000 ",,Lower Pacific Heights,,,Sold,SAN FRANCISCO
94117,1310 Fulton St #202,,,San Francisco,"1,020 sqft",17-Oct-13,"$830,000 ",37.777046,-122.4386,CA,Condo,830000,"$916,000 ",,North Park,,,Sold,SAN FRANCISCO
94134,514 Visitacion Ave #520,4,,San Francisco,"3,520 sqft",17-Oct-13,"$800,000 ",37.71073,-122.40463,CA,Multi-Family,800000,,,Visitacion Valley,,,Sold,SAN FRANCISCO
94110,327 Richland Ave,1,,San Francisco,"1,275 sqft",17-Oct-13,"$980,000 ",37.735954,-122.41931,CA,Single-Family Home,980000,"$1,029,000 ",,Bernal Heights,,,Sold,SAN FRANCISCO
94107,451 Kansas St #485,1,1,San Francisco,825 sqft,16-Oct-13,"$701,000 ",37.764114,-122.402985,CA,Condo,701000,"$762,000 ",,Potrero Hill,,,Sold,SAN FRANCISCO
94114,73 Pond St,1,,San Francisco,"1,080 sqft",16-Oct-13,"$1,200,000 ",37.763165,-122.432,CA,Single-Family Home,1200000,"$1,227,000 ",,Castro,,,Sold,SAN FRANCISCO
94103,83 Lafayette St #4,1,,San Francisco,726 sqft,16-Oct-13,"$650,000 ",37.772804,-122.416534,CA,Condo,650000,"$651,000 ",,SoMa,,,Sold,SAN FRANCISCO
94102,150 Page St #106,1,1,San Francisco,816 sqft,16-Oct-13,"$729,000 ",37.77422,-122.42342,CA,Condo,729000,"$760,000 ",,Hayes Valley,,,Sold,SAN FRANCISCO
94124,50 Hawkins Ln,2,3,San Francisco,"1,776 sqft",16-Oct-13,"$600,000 ",37.735252,-122.38403,CA,Single-Family Home,600000,"$695,000 ",,Bayview,,,Sold,SAN FRANCISCO
94115,2211 California St #307,1,1,San Francisco,624 sqft,16-Oct-13,"$540,000 ",37.78896,-122.43097,CA,Condo,540000,"$702,000 ",,Lower Pacific Heights,,,Sold,SAN FRANCISCO
94103,7 Hallam St #1C9,1,2,San Francisco,900 sqft,16-Oct-13,"$775,000 ",37.775734,-122.408295,CA,Condo,775000,"$793,000 ",,SoMa,,,Sold,SAN FRANCISCO
94105,18 Lansing St #207,2,2,San Francisco,"1,322 sqft",16-Oct-13,"$950,000 ",37.786385,-122.39384,CA,Condo,950000,"$1,208,000 ",,South Beach,,,Sold,SAN FRANCISCO
94115,2200 Sacramento St #608,2,,San Francisco,947 sqft,16-Oct-13,"$1,375,000 ",37.79068,-122.4295,CA,Condo,1375000,"$1,298,000 ",,Pacific Heights,,,Sold,SAN FRANCISCO
94110,550 S Van Ness Ave #408,1,,San Francisco,796 sqft,16-Oct-13,"$410,000 ",37.764355,-122.417854,CA,Condo,410000,"$557,000 ",,Mission,,,Sold,SAN FRANCISCO
94110,1384 Florida St #1386,3,,San Francisco,"1,320 sqft",16-Oct-13,"$459,000 ",37.74983,-122.410065,CA,Multi-Family,459000,"$724,000 ",,Mission,,,Sold,SAN FRANCISCO
94107,821 Folsom St #310,,,San Francisco,717 sqft,16-Oct-13,"$662,000 ",37.781384,-122.40136,CA,Condo,662000,"$762,000 ",,SoMa,,,Sold,SAN FRANCISCO
