v1,v2,v3,v4,v5,v6,v7,crimerate,education,employment,finished_sq_ft,housing,last_sold_price,lot_size_sq_ft,price_appreciated,tax_assesment,use_code,weather,zest_amt,zest_high,zest_low,zest_value_change,zpid
10245,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6969,2,0,272000,-0.5,1,365434,391014,339854,7884,15376326
10246,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6392,2,0,240000,-0.5,1,335033,355135,311581,4167,15366343
10247,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6534,2,0,219300,-0.5,1,334855,358295,311415,2417,15370294
10248,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5488,2,0,320000,-0.5,1,421868,442961,400775,-278,53366670
10249,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5600,2,0,272540,-0.5,1,394892,414637,371198,10782,61347994
10250,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7187,2,0,378000,-0.5,1,426654,456520,396788,-2087,53367680
10251,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6488,2,0,336000,-0.5,1,417567,450972,392513,-1777,63043863
10252,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,2,1.5,41817,2,0,666000,-0.5,1,793127,927959,642433,16538,58726561
10253,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6795,2,0,344000,-0.5,1,421561,442639,396267,1650,67417027
10254,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6621,2,0,295800,-0.5,1,424240,449694,398786,1444,63101724
10255,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,9147,2,0,208000,-0.5,1,281008,306299,255717,8928,15364751
10256,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6400,2,0,305000,-0.5,1,421424,442495,400353,4523,15373917
10257,0,2,-0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6969,2,0,183000,-0.5,1,209089,225816,188180,4183,15367596
10258,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5227,2,0,153979,-0.5,1,225035,243038,195780,7658,15366973
10259,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,-0.5,1.5,3702,2,0,238000,-0.5,1,307671,323055,292287,9280,15366035
10260,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,-0.5,1.5,3484,2,0,155000,-0.5,1,193436,218583,172158,14165,15377141
10261,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,9693,2,0,406793,-0.5,1,574065,608509,533880,7720,63102069
10262,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5601,2,0,280908,-0.5,1,367041,389063,345019,3358,61348426
10263,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,10018,2,0,224834,-0.5,1,346586,367381,315393,2085,15371038
10264,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5227,2,0,219000,-0.5,1,284776,304710,259146,5323,15375939
10265,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7535,2,0,286163,-0.5,1,359504,384669,330744,20367,15371711
10266,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,-0.5,1.5,3920,2,0,156060,-0.5,1,256453,274405,243630,3923,15377154
10267,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6063,2,0,231239,-0.5,1,332083,352008,305516,-350,15369590
10268,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4728,2,0,185000,-0.5,1,238554,260024,202771,15457,15371022
10269,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5568,2,0,203000,-0.5,1,297760,312648,276917,15191,15371149
10270,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4356,2,0,265302,-0.5,1,341624,365538,317710,4559,61347628
10271,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,2,1.5,87120,2,0,731267,-0.5,1,810294,899426,688750,25700,54636958
10272,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6708,2,0,305000,-0.5,1,389782,420965,366395,3061,63101765
10273,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1.5,1.5,15038,2,0,142980,-0.5,1,227224,254491,184051,6081,15372924
10274,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,1.5,1.5,17685,2,0,452000,-0.5,1,587863,652528,505562,24087,68968098
10275,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,2,1.5,356756,2,0,280000,-0.5,1,392002,446882,333202,-40493,24954146
