id,version,address,bathroom,bedroom,city,finished_sq_ft,last_sold_date,last_sold_price,latitude,longitude,lot_size_sq_ft,state,tax_assesment,tax_assesment_year,total_room,use_code,year_built,zest_amt,zest_high,zest_low,zest_value_change,zipcode,zpid
2117,0,3767 Fairlands Dr,2,3,Pleasanton,7800,1/17/2013,668000,37.699551,-121.866642,7800,CA,242834,2013,9,SingleFamily,1985,760400,859252,691964,-13236,94588,25075071
2118,0,3767 Kamp Dr,2,2,Pleasanton,4692,1/25/2013,563000,37.686205,-121.867923,4692,CA,259423,2013,5,SingleFamily,1988,611619,678897,544341,-10703,94588,25084916
2119,0,3767 Thistle Way,1.5,3,Pleasanton,1224,6/15/2005,492000,37.700471,-121.865474,1224,CA,329000,2013,7,Townhouse,1979,509569,565622,458612,5506,94588,25074996
2120,0,3768 Nicole Ave,2.5,4,Pleasanton,24829,4/22/2011,1515000,37.683226,-121.865252,24829,CA,1515000,2013,10,SingleFamily,1989,2004787,2145122,1804308,7727,94588,25085094
2121,0,3770 W Las Positas Blvd,2.5,3,Pleasanton,6565,9/26/2006,325000,37.69446,-121.866536,6565,CA,695000,2013,8,SingleFamily,1975,811922,860637,755087,-1004,94588,25074945
2122,0,3771 Oak Brook Ct,2.5,3,Pleasanton,7494,8/26/1985,162000,37.69671,-121.867954,7494,CA,261980,2013,10,SingleFamily,1974,803879,860151,739569,-1740,94588,25074809
2123,0,3771 Rose Rock Cir,2.5,4,Pleasanton,3357,5/11/2004,610000,37.688399,-121.869521,3357,CA,650000,2013,9,SingleFamily,1993,755049,807902,709746,2698,94588,25074097
2124,0,3772 Angus Way,2,3,Pleasanton,3906,11/12/2004,619000,37.689583,-121.867292,3906,CA,565000,2013,6,SingleFamily,1997,636744,694051,592172,-396,94588,25074224
2125,0,3772 Marlboro Way,2.5,4,Pleasanton,1050,7/21/2003,350000,37.700152,-121.867452,1050,CA,403976,2013,0,Condominium,1977,432667,488914,385074,-2564,94588,25075043
2126,0,3773 Thistle Way,1,2,Pleasanton,2360,9/29/2007,385000,37.700568,-121.865469,2360,CA,305000,2013,5,Townhouse,1979,501440,546570,456310,-1500,94588,25074995
2127,0,3774 Kamp Dr,2.5,3,Pleasanton,4534,0,0,37.686278,-121.868498,4534,CA,263464,2013,5,SingleFamily,1988,657283,709866,611273,1814,94588,25084927
2128,0,3774 Oak Brook Ct,0,0,Pleasanton,7985,11/17/1986,178500,37.696306,-121.867743,7985,CA,283002,2013,0,SingleFamily,1973,782831,845457,735861,-2703,94588,25074811
2129,0,3322 Santa Rita Rd,1.5,2,Pleasanton,796,5/12/2010,305000,37.692971,-121.877948,796,CA,319710,2013,4,Condominium,1983,406950,431367,374394,8396,94566,25074559
2130,0,3775 Kamp Dr,2,3,Pleasanton,4791,11/1/2011,626500,37.68633,-121.867936,4791,CA,639030,2013,6,SingleFamily,1988,727751,771416,669531,-276,94588,25084917
2131,0,3776 Newton Way,3,5,Pleasanton,14810,5/29/2009,1175000,37.689796,-121.866061,14810,CA,1228744,2013,9,SingleFamily,1996,1390348,1515479,1293024,9245,94588,25075901
