v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22
4635,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1307,2,381000,0.5,1,417165,450538,396307,3955,82958274
4636,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5227,2,372000,-0.5,1,507398,563212,466806,2530,19783557
4637,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,2,2,27878,2,616608,0.5,1,935166,1075441,813594,5814,69303058
4638,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5227,2,102048,-0.5,1,602338,644502,572221,15114,19558654
4639,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,1.5,2,16280,2,406000,-0.5,1,1308944,1636180,994797,329371,19686075
4640,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,0,-2,0,-0.5,1,116156,142872,88279,0,2109357529
4641,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-0.5,2,2613,2,601000,-0.5,1,753993,799233,686134,8244,19846902
4642,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7840,2,200059,-0.5,1,723875,781785,651488,47749,19582121
4643,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,1,2,9147,2,1302000,-0.5,1,1652522,1817774,1503795,45178,61323524
4644,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,0,2,4181,2,439000,-0.5,1,469357,544454,370792,15646,19578125
4645,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6969,-2,0,-0.5,1,1426639,1597836,1298241,10300,2110119481
4646,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5928,-2,49676,-0.5,1,476449,509800,447862,4552,19570456
4647,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,2000,2,267000,-0.5,1,403022,443324,366750,1611,19790715
4648,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,248000,0.5,1,379773,402559,353189,5119,19560369
4649,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,1.5,2,17424,2,489354,-0.5,1,1288381,1674895,940518,21955,19779583
4650,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-0.5,2,3570,2,635000,1,1,764055,832820,718212,7125,19768086
4651,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1180,2,363000,-0.5,1,531517,579354,494311,1119,69302087
4652,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-0.5,2,3049,2,530000,-0.5,1,742128,816341,690179,-11069,19672363
