v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22
1,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,11242,-2,881471,0.5,0.5,1295159,1476481,1100885,-21217,82959738
2,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,8700,-2,729311,0.5,0.5,326835,552351,228785,-434,82949770
3,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,8700,2,1142394,2,0.5,1366890,1612930,1189194,8971,82962903
4,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,12780,2,1305600,2,0.5,1675676,1960541,1441081,4032,82948700
5,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,-2,2,0,-2,0,2,0.5,537556,634316,397791,0,2109163108
6,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,-0.5,2,2243,2,612000,-0.5,1,778037,824719,739135,-553,79841511
7,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,545000,-0.5,1,696719,731555,654916,9819,79843484
8,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,12500,-2,961468,2,0.5,2150236,2494274,1849203,7627,82958113
9,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,12500,-2,977994,2,0.5,1744529,2110880,1360733,-8727,82959949
10,0,2,1,-0.5,santaclara,-2,1.5,0,1,-0.5,2,2614,2,620000,1,0.5,847045,889397,787752,7284,69300941
11,0,2,0.5,-0.5,santaclara,-2,1.5,0,1,0.5,2,5252,2,491525,-0.5,0.5,666066,719351,612781,3818,19555135
12,0,2,-0.5,-0.5,santaclara,-2,1.5,0,1,0.5,2,7500,-2,151901,1,0.5,557990,624949,507771,-4863,19551774
13,0,2,0,-0.5,santaclara,-2,1.5,0,1,-1.5,2,1728,2,412000,0.5,0.5,604554,634782,568281,2970,19553423
14,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,1.5,2,23217,-2,751380,2,0.5,2645785,3042653,2275375,131633,82957559
15,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,1.5,2,23072,-2,1308022,2,0.5,2368844,2605728,2155648,-9662,82960286
16,0,2,-0.5,-0.5,mountainview,-1.5,2,0.5,1,0.5,2,7500,2,620000,-0.5,0.5,924921,1082158,823180,-7232,19515025
17,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,1,2,14000,2,2065352,2,0.5,2237869,2595928,1969325,-7602,82948610
18,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,2,2,95396,2,557761,2,0.5,5487289,8560171,4005721,-229080,82957626
19,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,1.5,2,18403,-2,200139,2,0.5,2651062,3048721,2332935,-6528,82962785
20,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,1.5,2,19312,-2,338685,2,0.5,2832033,3256838,2435548,29770,82961079
21,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-2,2,0,-2,0,0.5,1,298074,357689,226536,1172,2115753402
22,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,871,2,445000,1,1,650225,708745,578700,14306,82959217
23,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,1,2,9660,2,1327353,2,1,1577732,1924833,1372627,-10168,82956861
24,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,0,2,4658,2,230025,1.5,1,504375,549769,458981,-2637,19710465
25,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,0.5,2,7800,2,469200,1.5,1,787776,874431,685365,2709,19710995
26,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1306,2,249000,0.5,1,399421,439363,359479,-2083,19714008
27,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,2,2,43560,-2,0,2,1,638988,754006,523970,-3796,2142963480
28,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,72000,2,1,339630,366800,298874,9334,19721273
29,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,142000,2,1,222107,244318,186570,-6015,19721253
30,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1875,2,142000,0.5,1,267315,286027,248603,4767,19721291
31,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,72000,1,1,331403,357915,298263,16614,19721297
32,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6000,2,351000,-0.5,1,564461,598329,536238,2072,19839389
33,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,178245,2,1,384392,426675,345953,7578,19802838
34,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,2,2,67954,-2,12403418,2,1,740174,836397,606943,-4499,82948386
35,0,2,0,-1.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,169000,0.5,1,319109,335064,303154,-5808,19717409
36,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,185000,0.5,1,315561,337650,290316,2806,19717245
37,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5824,2,701804,-0.5,1,840572,916223,773326,5518,19685793
38,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7249,2,1393000,-0.5,1,1341312,1475443,1166941,110116,19687164
39,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,2,2,26690,-2,2144408,0.5,1,336280,447252,218582,-7229,82960206
40,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,871,2,528000,1,1,552217,601917,502517,4695,59683028
41,0,2,-0.5,-1.5,alameda,-2,0.5,0,0.5,1,2,13370,-2,3662341,2,0.5,3649376,4050807,2883007,8523,82846625
42,0,2,0,-1.5,alameda,-2,0.5,0,0.5,2,2,71617,-2,7100511,0.5,0.5,7075376,8065929,5377286,16529,82845807
43,0,2,0.5,-0.5,alameda,-2,0.5,0,0.5,2,2,70000,-2,5912045,2,0.5,5912044,6562369,4729635,0,82850691
44,0,2,-0.5,-1.5,alameda,-2,0.5,0,0.5,2,2,62655,2,10057404,2,0.5,2641692,3275698,1902018,-1362267,87796772
45,0,2,-0.5,-1.5,alameda,-2,0.5,0,0.5,2,2,46800,2,7420000,2,0.5,7371253,11056880,5012452,32060,82845424
46,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,1,2,10890,2,463900,-0.5,1,1049151,1196032,860304,14324,19784404
47,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,2,489454,-0.5,1,631660,669560,593760,3982,19789560
48,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,2,2,218496960,2,248876,-0.5,1,352909,388200,314089,-223,19783091
49,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,0,-2,0,0.5,1,259833,319595,218260,3030,2111210362
50,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-2,2,1306,2,180000,2,1,489208,543021,435395,2789,79843973
51,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,1,2,14450,2,2189547,0.5,1,3687532,5088794,2101893,16741,82963392
52,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-2,2,0,-2,0,2,1,619539,693884,545194,27505,2110790371
53,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5985,2,420941,-0.5,1,965187,1032750,907276,3905,19648426
54,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,9600,2,548298,-0.5,1,1057073,1152210,961936,11050,19649464
55,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,2,2,111514,-2,14134076,2,1,1272024,1411947,1119381,-15040,82962525
56,0,2,1,-0.5,campbell,-2,0,0,1,0.5,2,6800,2,362656,-0.5,0.5,962568,1087702,895188,7709,19662111
57,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,1.5,2,23325,-2,1417940,2,1,2937275,3289748,2467311,-10176,82951570
58,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,1,2,12000,2,1690000,2,1,2193605,2500710,1842628,-7745,82961734
59,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,150000,0.5,1,284999,307799,265049,3353,69303852
60,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1584,2,408000,1,1,626683,676818,589082,11477,19774755
61,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,2,2,374180,2,31946076,2,1,418678,460546,376810,-11904,82949430
62,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1949,2,501000,-0.5,1,585526,620658,550394,-1199,69299487
63,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,205930,0.5,1,309553,362177,241451,3078,19566596
64,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1409,2,129466,1,1,604664,640944,574431,10927,89473121
65,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1809,2,340000,1,1,668866,722375,615357,7958,89473302
66,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,2,2,122404,-2,0,0.5,1,275735,397058,220588,-743,82957536
67,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-0.5,2,2059,2,236793,0.5,1,460198,492412,418780,2592,19842042
68,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1200,-2,154912,0.5,1,347162,371463,322861,-334,19841612
69,0,2,-0.5,-1.5,campbell,-2,0,0,1,1,2,12500,2,1500000,2,0.5,817506,899257,752106,28899,82949426
70,0,2,-0.5,-1.5,campbell,-2,0,0,1,2,2,51836,2,5067336,2,0.5,5434165,7879539,4075624,-241314,82952148
71,0,2,-0.5,-1.5,campbell,-2,0,0,1,2,2,169448,2,3003075,2,0.5,3003074,4594703,2072121,-1,82948761
72,0,2,2,-0.5,sanmateo,-2,1.5,0,1,0.5,2,6080,2,741382,2,1,1362839,1540008,1158413,4490,82960131
73,0,2,-0.5,-1.5,sanmateo,-2,1.5,0,1,2,2,27090,-2,2218681,2,1,731888,966092,468408,-16209,82950902
74,0,2,2,-0.5,sanmateo,-2,1.5,0,1,2,2,93654,-2,12000000,2,1,1712665,2312098,1164612,49528,82948780
75,0,2,-0.5,-0.5,sanmateo,-2,1.5,0,1,1.5,2,17424,2,2679030,2,1,3208443,3625541,2791345,13101,82962143
76,0,2,0.5,-0.5,sanmateo,-2,1.5,0,1,2,2,153456,2,502000,0.5,1,550632,594683,506581,2446,79844344
77,0,2,1,-0.5,fostercity,-2,2,0.5,2,-2,2,920,2,359625,-0.5,1,733931,770628,675217,-506,15616720
78,0,2,-0.5,-1.5,oakland,-2,-2,-1,0,2,1.5,36800,2,3157451,2,0.5,3771972,4564086,2904418,17047,82834683
79,0,2,2,-0.5,oakland,-2,-2,-1,0,0.5,1.5,7000,2,630000,2,0.5,1096381,1282766,909996,1097,82847508
80,0,2,-0.5,-1.5,oakland,-2,-2,-1,0,-2,1.5,0,-2,0,2,0.5,192091,240114,136385,11377,2115430169
81,0,2,-0.5,-0.5,oakland,-2,-2,-1,0,-0.5,1.5,3484,2,165000,2,0.5,250855,285975,215735,-543,24780170
82,0,2,2,-0.5,oakland,-2,-2,-1,0,1,1.5,13590,2,672486,2,0.5,1361746,1688565,1007692,6708,82850458
83,0,2,-0.5,-0.5,oakland,-2,-2,-1,0,0.5,1.5,5090,2,242352,1,0.5,382661,424754,332915,8765,24801089
84,0,2,-0.5,-1.5,oakland,-2,-2,-1,0,2,1.5,33750,2,2630000,1,0.5,2681795,2976792,1421351,14852,82839819
85,0,2,-0.5,-1.5,oakland,-2,-2,-1,0,1,1.5,14488,2,958182,1,0.5,684764,773783,582049,4737,82837464
86,0,2,-0.5,-1.5,oakland,-2,-2,-1,0,0,1.5,5000,2,247800,0.5,0.5,591991,680790,491353,3,82840033
87,0,2,2,-0.5,oakland,-2,-2,-1,0,1,1.5,15000,-2,1921197,2,0.5,1914395,3043888,1167781,4470,82831014
88,0,2,-0.5,-0.5,oakland,-2,-2,-1,0,-2,1.5,0,-2,0,1,0.5,227802,280196,170851,-1757,2110151878
89,0,2,-0.5,-0.5,oakland,-2,-2,-1,0,0.5,1.5,7500,-2,845265,1,0.5,755186,868464,596597,1749,82778042
90,0,2,1.5,-0.5,oakland,-2,-2,-1,0,-1.5,1.5,1988,2,197675,1.5,0.5,460869,511565,419391,6821,24740492
91,0,2,2,-0.5,oakland,-2,-2,-1,0,-0.5,1.5,2563,2,183440,1.5,0.5,370173,407190,333156,15777,24740590
92,0,2,-0.5,-1.5,oakland,-2,-2,-1,0,-2,1.5,0,-2,0,2,0.5,352943,402355,310590,3024,2144406842
93,0,2,2,-0.5,oakland,-2,-2,-1,0,1,1.5,12800,-2,870693,2,0.5,2790832,3962981,1786132,-3398,82846464
94,0,2,1.5,-0.5,oakland,-2,-2,-1,0,1,1.5,8624,2,419547,-0.5,0.5,1143884,1292589,1018057,4469,24746585
95,0,2,2,-0.5,oakland,-2,-2,-1,0,0,1.5,4235,2,198037,2,0.5,1129334,1264854,993814,23690,82850089
96,0,2,-0.5,-1.5,oakland,-2,-2,-1,0,0.5,1.5,7474,-2,336089,2,0.5,497065,551742,432447,12397,24815691
97,0,2,2,-1.5,oakland,-2,-2,-1,0,-0.5,1.5,3955,2,1070267,2,0.5,1234944,1407836,1074401,4661,82850266
98,0,2,2,-0.5,oakland,-2,-2,-1,0,1,1.5,10000,-2,637542,2,0.5,1782599,2032163,1515209,-9648,111398280
99,0,2,2,-0.5,oakland,-2,-2,-1,0,1,1.5,10000,-2,461925,2,0.5,1781401,2084239,1496377,-7803,82846177
100,0,2,2,-0.5,oakland,-2,-2,-1,0,2,1.5,31442,2,2500000,-0.5,0.5,3082652,3514223,2620254,15392,24787260
101,0,2,2,-0.5,oakland,-2,-2,-1,0,2,1.5,30000,-2,436022,2,0.5,1317520,1699601,1027666,-73801,82833865
102,0,2,-0.5,-1.5,sanbruno,-2,1.5,0,1,-2,2,675,1.5,170235,0.5,0.5,269587,288458,248020,1767,15624226
103,0,2,-0.5,-0.5,sanbruno,-2,1.5,0,1,2,2,1679615,2,150000,0.5,0.5,227069,245235,213445,-2113,15624002
104,0,2,-0.5,-1.5,sanbruno,-2,1.5,0,1,2,2,1679615,2,168693,0.5,0.5,266922,293614,218876,1012,15623684
105,0,-1.5,1.5,-0.5,felton,-2,2,0.5,0.5,1,2,9147,2,379050,-0.5,0,629762,673845,585679,-2253,16150067
106,0,-1.5,2,-0.5,felton,-2,2,0.5,0.5,1.5,2,21344,-2,0,-0.5,0,716033,801957,622949,-14771,2122279442
107,0,2,2,-0.5,santacruz,-2,-2,0,0.5,-0.5,2,2744,2,564378,-0.5,0,902727,1011054,803427,-9164,16102617
108,0,2,-0.5,-0.5,santaclara,-2,1.5,0,1,-2,2,0,-2,0,2,0.5,486865,642662,360280,0,2108653949
109,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,8360,-2,148401,2,0.5,1418547,1617144,1248321,25846,82960463
110,0,2,0.5,-0.5,santacruz,-2,-2,0,0.5,-2,2,697,2,199588,0.5,0,373678,392362,347521,-2830,16102143
111,0,2,0.5,-0.5,scottsvalley,-2,2,0.5,1.5,1,2,8886,2,395500,-0.5,0,572503,624028,532428,-3408,16151157
112,0,2,0.5,-0.5,fremont,-2,2,0,1.5,-2,2,0,2,170000,2,1,409055,499047,343606,15625,79533592
113,0,2,-0.5,-0.5,fremont,-2,2,0,1.5,-2,2,0,2,165000,0.5,1,276631,304294,251734,22027,79541747
114,0,2,-0.5,-1.5,fremont,-2,2,0,1.5,-2,2,0,2,80000,0.5,1,181263,219328,146823,3486,79534007
115,0,2,2,-0.5,fremont,-2,2,0,1.5,2,2,131096,-2,9728851,2,1,9694416,10373025,8046365,22646,82847349
116,0,2,-0.5,-1.5,pleasanton,-2,2,0.5,1.5,1,2,10459,-2,116670,2,0.5,1063156,1467155,818630,22819,82848293
117,0,2,2,-0.5,pleasanton,-2,2,0.5,1.5,1,2,11250,-2,134916,2,0.5,1254098,1354426,1103606,10897,82844738
118,0,2,1.5,-0.5,pleasanton,-2,2,0.5,1.5,0,2,4500,-2,283517,-0.5,0.5,642127,693497,603599,-525,25066536
119,0,2,0,-0.5,livermore,-2,0.5,0,1.5,0.5,2,6200,-2,122891,-0.5,0.5,530682,583750,482921,-4948,24950520
120,0,2,2,-0.5,southsanfrancisco,-2,1.5,-0.5,1,0.5,2,7000,2,946569,2,0.5,1459061,1721692,1269383,-24525,82948955
121,0,2,2,-0.5,southsanfrancisco,-2,1.5,-0.5,1,0.5,2,7000,-2,229922,2,0.5,1469048,1704096,1204619,-7431,82955841
122,0,2,2,-0.5,southsanfrancisco,-2,1.5,-0.5,1,0.5,2,7500,2,875244,2,0.5,1528917,1911146,1192555,7216,82952157
123,0,2,1.5,-0.5,sanramon,-2,2,1,2,-2,2,0,2,483500,2,0.5,686710,741647,638640,47815,67698874
124,0,2,0.5,-0.5,sanramon,-2,2,1,2,-2,2,0,2,358000,2,0.5,624321,680510,574375,8824,67705922
125,0,2,0,-0.5,dalycity,-2,2,-0.5,1,-0.5,2,3300,2,248502,-0.5,0.5,676228,716802,628892,5467,15456837
126,0,2,2,-0.5,redwoodcity,-2,1.5,-0.5,1,1,2,11369,2,1482000,-0.5,0.5,1471503,1765804,1177202,79957,15563022
127,0,2,0.5,-0.5,sanbruno,-2,1.5,0,1,-0.5,2,2613,2,179633,-0.5,0.5,569083,603228,529247,-6630,15499333
128,0,2,1.5,-0.5,sanmateo,-2,1.5,0,1,1,2,9500,2,2279366,-0.5,1,1904880,2114417,1752490,-13275,15522391
129,0,2,1.5,-0.5,sanmateo,-2,1.5,0,1,0.5,2,5749,2,700000,-0.5,1,718113,833011,660664,-935,15531147
130,0,2,0.5,-0.5,southsanfrancisco,-2,1.5,-0.5,1,0.5,2,5510,2,89761,-0.5,0.5,687341,735455,625480,8308,15486618
131,0,2,1.5,-0.5,sancarlos,-2,2,0.5,1.5,1,2,13800,1.5,167854,-0.5,1,1495587,1600278,1390896,-7747,15557579
132,0,2,1.5,-0.5,fostercity,-2,2,0.5,2,1.5,2,16233,2,329127,-0.5,1,1842676,2119077,1603128,-2603,15610446
133,0,2,1.5,-0.5,fostercity,-2,2,0.5,2,0.5,2,5665,2,1326510,-0.5,1,1432702,1518664,1332413,2381,15614127
134,0,2,0.5,-0.5,belmont,-2,2,0.5,1.5,0.5,2,6098,2,768012,-0.5,1,987215,1115553,839133,6163,15548971
135,0,1.5,-0.5,-0.5,brisbane,-2,1,0.5,1,-0.5,2,3400,2,49265,-0.5,0.5,473131,544101,416355,-1932,15469352
136,0,2,0.5,-0.5,belmont,-2,2,0.5,1.5,1,2,13620,2,1093828,-0.5,1,1178912,1461851,860606,-54836,15546164
137,0,2,1,-0.5,dalycity,-2,2,-0.5,1,2,2,1412719,2,299155,0.5,0.5,489259,513722,464796,-2689,15625253
138,0,-1.5,1,-0.5,hillsborough,-2,2,0.5,2,1.5,2,22200,2,1957026,-0.5,0.5,2179599,2332171,2005231,17203,15534578
139,0,-1.5,2,-0.5,hillsborough,-2,2,0.5,2,1.5,2,23522,2,3200000,-0.5,0.5,3825620,4322951,3443058,10024,15520405
140,0,2,0.5,-0.5,millbrae,-2,2,0,1,1,2,9583,2,150266,-0.5,0.5,1049321,1143760,944389,17981,15511019
141,0,-1.5,1.5,-0.5,hillsborough,-2,2,0.5,2,1,2,12384,2,1612122,-0.5,0.5,2707156,2923728,2436440,6846,15522357
142,0,-2,0.5,-0.5,mossbeach,-2,2,1.5,1.5,0.5,2,5400,2,306430,-0.5,0.5,729256,765719,692793,-3062,15533623
143,0,1.5,0.5,-0.5,pacifica,-2,2,0.5,1.5,-2,2,930,2,305532,-0.5,0.5,437488,468112,411239,-429,15508350
144,0,1.5,-0.5,-0.5,pacifica,-2,2,0.5,1.5,0.5,2,5662,2,60156,-0.5,0.5,550996,584056,523446,1148,15506482
145,0,1.5,1.5,-0.5,pacifica,-2,2,0.5,1.5,0.5,2,5227,2,310798,-0.5,0.5,660072,699676,627068,17959,15507021
146,0,2,-0.5,-0.5,redwoodcity,-2,1.5,-0.5,1,0.5,2,5100,2,570000,-0.5,0.5,780537,827369,741510,16965,15592719
147,0,2,0.5,-0.5,redwoodcity,-2,1.5,-0.5,1,1,2,9147,2,276186,-0.5,0.5,1020562,1122618,928711,11413,15592931
148,0,1.5,1,-0.5,pacifica,-2,2,0.5,1.5,-0.5,2,4000,2,337122,-0.5,0.5,727435,763807,691063,-7055,15474854
149,0,1.5,0.5,-0.5,pacifica,-2,2,0.5,1.5,0.5,2,6577,2,647812,-0.5,0.5,720164,756172,684156,1373,15478293
150,0,2,0.5,-0.5,redwoodcity,-2,1.5,-0.5,1,0.5,2,6300,2,82993,-0.5,0.5,840610,916265,790173,-11724,15575438
151,0,2,-0.5,-1.5,sanbruno,-2,1.5,0,1,2,2,1679615,2,230000,0.5,0.5,310948,348262,289182,3500,15624008
152,0,2,0.5,-0.5,sanbruno,-2,1.5,0,1,0.5,2,5610,2,104368,-0.5,0.5,694653,729386,639081,2114,15492649
153,0,2,-0.5,-0.5,sancarlos,-2,2,0.5,1.5,1,2,10585,2,460308,-0.5,1,818411,957541,712018,-1746,15556699
154,0,2,1,-0.5,sanmateo,-2,1.5,0,1,-1.5,2,1830,2,474855,-0.5,1,786144,825451,731114,13695,119689932
155,0,2,1,-0.5,sanmateo,-2,1.5,0,1,-0.5,2,2080,2,840000,-0.5,1,935319,1010145,841787,5209,15532311
156,0,2,-0.5,-0.5,southsanfrancisco,-2,1.5,-0.5,1,0.5,2,6534,2,61482,-0.5,0.5,564624,592855,536393,-3925,15484933
157,0,2,1.5,-0.5,southsanfrancisco,-2,1.5,-0.5,1,-0.5,2,2800,2,83189,-0.5,0.5,588562,623876,559134,-769,15606007
158,0,2,0.5,-0.5,southsanfrancisco,-2,1.5,-0.5,1,0,2,4500,2,600000,-0.5,0.5,695888,751559,640217,837,15478600
159,0,2,0.5,-0.5,southsanfrancisco,-2,1.5,-0.5,1,0.5,2,5500,2,87371,-0.5,0.5,598524,628450,550642,5283,15485122
160,0,2,0.5,-0.5,sanmateo,-2,1.5,0,1,0.5,2,7176,2,316084,-0.5,1,714553,757426,664534,-284,15531876
161,0,2,1,-0.5,sanmateo,-2,1.5,0,1,-2,2,0,-2,541371,0.5,1,642933,720085,591498,12518,119689023
162,0,1.5,0.5,-0.5,brisbane,-2,1,0.5,1,1.5,2,20539,2,567768,0.5,0.5,571819,606128,543228,7098,55007665
163,0,1.5,2,-0.5,brisbane,-2,1,0.5,1,0.5,2,5775,2,530451,-0.5,0.5,1068036,1270963,950552,-23067,15469531
164,0,2,-0.5,-0.5,sanbruno,-2,1.5,0,1,0.5,2,6098,2,396070,-0.5,0.5,516258,593697,423332,-58195,15501010
165,0,1.5,-0.5,-0.5,pacifica,-2,2,0.5,1.5,0.5,2,5532,2,480000,-0.5,0.5,547867,580739,493080,15281,15475340
166,0,2,1.5,-0.5,fostercity,-2,2,0.5,2,0.5,2,5250,2,700986,-0.5,1,1210822,1283471,1101848,20947,15613389
167,0,2,-0.5,-0.5,eastpaloalto,-2,-1.5,-2,0.5,0,2,4650,2,270000,-0.5,1,383200,436848,341048,-4086,15585192
168,0,2,-0.5,-0.5,eastpaloalto,-2,-1.5,-2,0.5,0,2,5000,2,34334,-0.5,1,412634,441518,379623,100,15584867
169,0,2,-0.5,-0.5,menlopark,-2,2,0.5,1.5,0.5,2,5760,2,590583,-0.5,0.5,556203,606261,511707,11147,15569685
170,0,2,0.5,-0.5,redwoodcity,-2,1.5,-0.5,1,0,2,4499,2,119531,-0.5,0.5,616120,702377,536024,-38851,15565171
171,0,2,2,-0.5,sancarlos,-2,2,0.5,1.5,1,2,11674,2,709607,-0.5,1,2783932,3257200,2422021,3374,52393903
172,0,2,2,-0.5,sanmateo,-2,1.5,0,1,0.5,2,6098,2,802569,2,1,938104,985009,872437,-3643,15521623
173,0,2,1,-0.5,sanmateo,-2,1.5,0,1,-1.5,2,1632,2,358824,-0.5,1,763176,816598,702122,10111,15543084
174,0,2,-0.5,-0.5,sanmateo,-2,1.5,0,1,0,2,5000,2,76364,-0.5,1,733675,807042,667644,-2952,15538605
175,0,2,1,-0.5,redwoodcity,-2,1.5,-0.5,1,1.5,2,19435,2,587179,-0.5,0.5,1859963,2008760,1711166,6394,15589839
176,0,2,1.5,-0.5,redwoodcity,-2,1.5,-0.5,1,0.5,2,7382,2,627308,-0.5,0.5,1378386,1447305,1309467,38781,15577512
177,0,2,1.5,-0.5,halfmoonbay,-2,2,-0.5,1.5,0,2,4947,2,725000,-0.5,1,830260,896681,788747,7202,15553393
178,0,2,0.5,-0.5,dalycity,-2,2,-0.5,1,-0.5,2,3400,2,152638,-0.5,0.5,654385,693648,595490,5320,15473270
179,0,-1.5,1.5,-0.5,hillsborough,-2,2,0.5,2,1.5,2,15132,2,239893,-0.5,0.5,2441365,2636674,2270469,-16747,15515815
180,0,2,-0.5,-0.5,sanbruno,-2,1.5,0,1,0,2,4791,2,99286,-0.5,0.5,292468,383133,216426,-9478,15488977
181,0,2,1,-0.5,fostercity,-2,2,0.5,2,-2,2,1440,2,758404,-0.5,1,779870,818863,740877,5626,15616449
182,0,2,-0.5,-0.5,dalycity,-2,2,-0.5,1,-0.5,2,3397,2,270514,-0.5,0.5,549385,576854,516422,8704,15471563
183,0,2,-0.5,-0.5,southsanfrancisco,-2,1.5,-0.5,1,-0.5,2,4000,2,158903,-0.5,0.5,530403,572835,493275,-3847,15486528
184,0,2,0.5,-0.5,halfmoonbay,-2,2,-0.5,1.5,0.5,2,6098,2,510000,-0.5,1,646118,678424,600890,5518,15534459
185,0,-1.5,2,-0.5,elgranada,-2,2,0.5,1.5,0.5,2,6534,2,655000,-0.5,0.5,865578,926168,804988,4925,15552861
186,0,2,2,-0.5,sancarlos,-2,2,0.5,1.5,1,2,11020,2,491444,-0.5,1,1203903,1312254,1035357,-11946,15557597
187,0,2,0.5,-0.5,sanmateo,-2,1.5,0,1,0.5,2,7488,2,114386,-0.5,1,1179250,1250005,1108495,-4304,15541628
188,0,2,2,-0.5,menlopark,-2,2,0.5,1.5,1,2,14600,2,4926600,-0.5,0.5,6121089,6610776,5447769,20689,15595447
189,0,2,1.5,-0.5,dalycity,-2,2,-0.5,1,-1.5,2,1742,2,410000,-0.5,0.5,570156,610067,524544,-4330,15461982
190,0,2,0.5,-0.5,sanbruno,-2,1.5,0,1,0,2,4791,2,99510,-0.5,0.5,851053,919137,791479,-126,15498025
191,0,1.5,-0.5,-0.5,pacifica,-2,2,0.5,1.5,0.5,2,5662,2,62071,-0.5,0.5,573506,602181,533361,4239,15476203
192,0,1.5,-0.5,-0.5,pacifica,-2,2,0.5,1.5,0.5,2,5723,2,475530,-0.5,0.5,584747,619832,549662,6406,15493863
193,0,-1.5,2,-0.5,hillsborough,-2,2,0.5,2,2,2,43500,2,1449310,-0.5,0.5,3169608,3549961,2820951,8829,15517049
194,0,-1.5,2,-0.5,hillsborough,-2,2,0.5,2,2,2,42253,2,2048754,-0.5,0.5,4351258,5090972,3611544,-19182,15517083
195,0,1.5,0.5,-0.5,pacifica,-2,2,0.5,1.5,1,2,11325,2,600000,-0.5,0.5,663491,696666,630316,-576,15507075
196,0,2,-0.5,-1.5,sanbruno,-2,1.5,0,1,2,2,1679615,2,230000,0.5,0.5,280197,294207,263385,7177,15624044
