v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23
4363,0,2,2,-0.5,Fremont,-2,2,0,1.5,2,2,64033,2,1964424,-0.5,1,2338504,2502199,2151424,-19136,25034327,0
4364,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,1,2,8276,2,732640,-0.5,1,1247398,1322242,1122658,-2087,25029816,0
4365,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,1,2,11209,2,638090,-0.5,1,1439525,1511501,1324363,8668,25021082,0
4366,0,2,-0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5608,2,58529,-0.5,1,441579,476905,406253,1968,25035619,0
4367,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,1,2,9147,2,789297,2,1,1353403,1475209,1245131,-1955,25023228,0
4368,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5488,2,48581,-0.5,1,458450,499711,412605,3202,25041138,0
4369,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,1,2,9583,2,719335,-0.5,1,1026851,1098731,934434,11657,25025565,0
4370,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5662,2,458253,-0.5,1,706802,756278,650258,527,25044538,0
4371,0,2,-0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7735,2,42607,-0.5,1,808697,881480,711653,3030,25034608,0
4372,0,2,0,-0.5,Fremont,-2,2,0,1.5,-2,2,912,2,274000,0.5,1,408266,432762,379687,2891,25040518,0
4373,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6870,2,483000,-0.5,1,578442,607364,526382,4780,25037908,0
4374,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6098,2,509723,-0.5,1,572508,618309,520982,5511,25037410,0
4375,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,124118,-0.5,1,0,0,0,0,82838781,0
4376,0,2,1,-0.5,Fremont,-2,2,0,1.5,0.5,2,6367,2,309483,-0.5,1,782614,821745,720005,872,25013753,0
4377,0,2,-0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,0,-2,0,0.5,1,507898,548530,472345,-101,2111869949,0
4378,0,2,2,-0.5,Fremont,-2,2,0,1.5,1,2,9147,2,1421000,-0.5,1,1550958,1721563,1442391,4393,25023102,0
4379,0,2,2,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,124118,-0.5,1,0,0,0,0,82851245,0
4380,0,2,1,-0.5,Fremont,-2,2,0,1.5,0,2,4468,2,563000,-0.5,1,645202,696818,612942,-486,25008845,0
4381,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,-0.5,2,3050,2,307764,1,1,888044,950207,808120,6698,25030440,0
4382,0,2,2,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,124118,-0.5,1,0,0,0,0,82837366,0
4383,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6534,2,694000,-0.5,1,806590,887249,725931,2295,25026514,0
4384,0,2,1,-0.5,Fremont,-2,2,0,1.5,0.5,2,5300,2,606138,-0.5,1,752855,798026,692627,2151,25013745,0
4385,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,879,2,165255,0.5,1,359241,402350,326909,212,25017353,0
4386,0,2,1,-0.5,Fremont,-2,2,0,1.5,-0.5,2,3863,2,520000,-0.5,1,712080,747684,647993,3834,25017138,0
4387,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7618,2,569047,-0.5,1,835107,910267,759947,3492,25057216,0
4388,0,2,2,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,124118,-0.5,1,0,0,0,0,82832395,0
4389,0,2,0,-0.5,Fremont,-2,2,0,1.5,-2,2,914,2,252000,0.5,1,293987,326326,267528,408,25017283,0
4390,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,2,2,162478,2,345915,0.5,1,427582,448961,406203,4670,25057776,0
4391,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5793,2,433500,-0.5,1,637755,682398,586735,3614,25047684,0
4392,0,2,2,-0.5,Fremont,-2,2,0,1.5,1.5,2,21219,2,1372448,-0.5,1,2144929,2402320,1973335,823,25028456,0
4393,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,267000,0.5,1,308212,357526,261980,7429,25010395,0
4394,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,1,2,9147,2,333950,-0.5,1,663542,763073,583917,183,25006262,0
4395,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,-0.5,2,3049,2,647804,-0.5,1,806360,846678,749915,3338,25058523,0
4396,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6900,2,71080,-0.5,1,708901,758524,659278,1434,25011665,0
4397,0,2,1,-0.5,Fremont,-2,2,0,1.5,-0.5,2,3264,2,283206,-0.5,1,627891,678122,583939,4893,25052121,0
4398,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6194,2,229334,-0.5,1,501737,546893,466615,-6308,25005125,0
4399,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,2,2,149411,2,217876,0.5,1,438882,469604,416938,2140,25056269,0
4400,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6000,2,589323,-0.5,1,681763,722669,627222,5360,25004440,0
4401,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,124118,-0.5,1,0,0,0,0,82847709,0
4402,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7448,2,273284,-0.5,1,570169,621484,530257,-1206,25011180,0
4403,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,0,-2,0,0.5,1,400918,424973,360826,-103,2130399779,0
4404,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,1,2,8395,2,660717,-0.5,1,1270972,1347230,1169294,11332,25024991,0
4405,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5168,2,341661,-0.5,1,561860,595572,522530,5512,25036713,0
4406,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-0.5,2,3119,2,386000,-0.5,1,455446,491882,423565,2305,25048451,0
4407,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,1,2,8973,2,535515,-0.5,1,1026215,1169885,944118,-466,25031477,0
4408,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5300,2,367086,-0.5,1,499650,549615,454681,949,25041606,0
4409,0,2,-0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5500,2,690000,-0.5,1,814587,896046,749420,5621,25022285,0
4410,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,1306,2,470000,-0.5,1,468312,529193,384016,-2320,25021497,0
4411,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,2,2,52707,2,340000,0.5,1,433389,455058,398718,3075,25057751,0
4412,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5401,2,289388,-0.5,1,519209,581514,477672,795,25037001,0
4413,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7405,2,72872,2,1,660441,719881,620815,2857,25048234,0
4414,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0,2,4835,2,552771,-0.5,1,661573,714499,615263,870,25052704,0
4415,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,871,2,169642,-0.5,1,708255,779080,630347,5787,25021530,0
4416,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0,2,4016,2,580000,-0.5,1,737878,774772,693605,2616,25046703,0
4417,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-0.5,2,2184,2,530000,-0.5,1,593154,646538,557565,594,25016817,0
4418,0,2,1,-0.5,Fremont,-2,2,0,1.5,-0.5,2,3049,2,533838,-0.5,1,642392,680936,591001,2337,25057574,0
4419,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6014,2,65107,-0.5,1,606234,648670,569860,4059,25050087,0
4420,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7245,2,557831,-0.5,1,694446,729168,645835,5262,25009104,0
4421,0,2,2,-0.5,Fremont,-2,2,0,1.5,1.5,2,17555,2,177140,-0.5,1,1314678,1511880,1183210,-1793,25032233,0
4422,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5662,2,50572,-0.5,1,381097,426829,320121,544,25043846,0
4423,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5042,2,408464,-0.5,1,889253,933716,827005,-264,25014463,0
4424,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7339,2,340674,-0.5,1,517161,553362,486131,2349,25005023,0
4425,0,2,2,-0.5,Fremont,-2,2,0,1.5,0.5,2,6820,2,650000,-0.5,1,789006,875797,717995,8632,25039206,0
4426,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,1,2,9334,2,573000,-0.5,1,678742,712679,631230,1869,25007612,0
4427,0,2,1,-0.5,Fremont,-2,2,0,1.5,-0.5,2,4000,2,594000,-0.5,1,698249,740144,642389,3515,25058234,0
4428,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6098,2,478655,2,1,616014,652975,554413,10496,25047652,0
4429,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,324426,0.5,1,398091,497614,310511,7806,111038567,0
4430,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7405,2,530000,-0.5,1,692512,740988,650961,6899,25005840,0
4431,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,1019,2,365000,0.5,1,337577,374710,300444,-414,25017303,0
4432,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6004,2,530745,-0.5,1,791942,871136,752345,1936,25034899,0
4433,0,2,-0.5,-1.5,FREMONT,-2,2,0,1.5,0.5,2,7225,2,649000,-0.5,1,0,0,0,0,111410546,1
4434,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5400,2,343978,-0.5,1,442221,499710,389154,-3544,25044844,0
4435,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5837,2,154454,-0.5,1,529795,588072,482113,-4814,25037520,0
4436,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0,2,4560,2,75261,-0.5,1,541903,596093,466037,2988,25006946,0
4437,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,1,2,12196,2,776000,-0.5,1,868601,938089,790427,-126,25055279,0
4438,0,2,1,-0.5,Fremont,-2,2,0,1.5,0.5,2,6534,2,650000,-0.5,1,793275,856737,745678,-3472,25009084,0
4439,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5662,2,449264,-0.5,1,618315,661597,575033,4509,25051031,0
4440,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5866,2,1061731,-0.5,1,1627851,1758079,1432509,2550,25024984,0
4441,0,2,1,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,400000,0.5,1,516912,563434,475559,13358,25004635,0
4442,0,2,1,-0.5,Fremont,-2,2,0,1.5,0.5,2,5315,2,955000,-0.5,1,1239013,1313354,1152282,8726,25023981,0
4443,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7000,2,66699,-0.5,1,532145,585359,468288,1517,25043855,0
4444,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,1,2,9020,2,399367,-0.5,1,936472,983296,870919,-1715,25015542,0
4445,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5662,2,614000,-0.5,1,702060,751204,645895,4630,25051727,0
4446,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,-2,2,731,2,275581,0.5,1,440531,488989,418504,-573,25042819,0
4447,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,-2,2,1136,2,431460,0.5,1,577668,629658,519901,2515,25042541,0
4448,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6359,2,455000,-0.5,1,590565,625999,543320,4728,25043749,0
4449,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7840,2,439210,-0.5,1,567351,607066,527636,3938,25039715,0
4450,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,871,2,224000,0.5,1,313476,341689,275859,1526,25005699,0
4451,0,2,2,-0.5,Fremont,-2,2,0,1.5,1.5,2,18339,2,871514,-0.5,1,1191051,1310156,1071946,5393,25007900,0
4452,0,2,-0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5168,2,45993,-0.5,1,432329,475562,393419,7330,25036754,0
4453,0,2,0,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,345915,0.5,1,401128,433218,369038,2436,25026624,0
4454,0,2,1,-0.5,Fremont,-2,2,0,1.5,-0.5,2,2053,2,375000,-0.5,1,490220,539242,451002,4934,25010763,0
4455,0,2,1,-0.5,Fremont,-2,2,0,1.5,-1.5,2,1742,2,729925,1,1,882304,952888,811720,3941,25023381,0
4456,0,2,-0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6840,2,393000,-0.5,1,511776,562954,460598,7993,25036899,0
4457,0,2,-0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5008,2,230881,-0.5,1,405479,466301,336548,6003,25015710,0
4458,0,2,2,-0.5,Fremont,-2,2,0,1.5,1,2,9365,2,1151000,-0.5,1,1441073,1527537,1354609,5065,25021965,0
4459,0,2,1,-0.5,Fremont,-2,2,0,1.5,0.5,2,6107,2,551075,-0.5,1,1157548,1261727,1076520,-49,25024322,0
4460,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5985,2,258480,-0.5,1,494661,529287,455088,610,25043777,0
4461,0,2,2,-0.5,Fremont,-2,2,0,1.5,1,2,10454,2,1006910,-0.5,1,1460222,1591642,1358006,24638,25028297,0
4462,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7405,2,601111,-0.5,1,985524,1054511,916537,-2967,25052314,0
4463,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,431660,1,1,558890,620368,497412,-1260,89034003,0
4464,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,1,2,8276,2,73270,2,1,866624,987951,797294,-1057,25021701,0
4465,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0,2,4791,2,555000,-0.5,1,753595,821419,685771,9856,25054904,0
4466,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,1,2,10105,2,557114,-0.5,1,1321685,1440637,1242384,7983,82237151,0
4467,0,2,1,-0.5,Fremont,-2,2,0,1.5,-0.5,2,3267,2,225010,-0.5,1,654279,719707,608479,2089,25057632,0
4468,0,2,-0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5300,2,360000,-0.5,1,474615,512584,431900,4718,25038186,0
4469,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6495,2,431630,-0.5,1,410277,451305,373352,-1444,25005490,0
4470,0,2,2,-0.5,Fremont,-2,2,0,1.5,0.5,2,5314,2,690000,-0.5,1,821868,879399,764337,4102,25013669,0
4471,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6429,2,438055,-0.5,1,527523,580275,480046,6367,25036956,0
4472,0,2,1,-0.5,Fremont,-2,2,0,1.5,1,2,9614,2,968435,-0.5,1,1317524,1422926,1225297,8837,25028784,0
4473,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,1,2,10600,2,430720,-0.5,1,1279454,1394605,1215481,7059,25028914,0
4474,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0,2,4225,2,643000,-0.5,1,675017,715518,621016,7140,25056393,0
4475,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7339,2,265660,-0.5,1,443288,487617,407825,4107,25005028,0
4476,0,2,0,-0.5,Fremont,-2,2,0,1.5,-2,2,914,2,193200,1,1,477077,534326,429369,8991,25040492,0
4477,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6000,2,308927,-0.5,1,861697,913399,792761,19697,25025677,0
4478,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,1,2,8842,2,948428,-0.5,1,1312903,1417935,1247258,-2103,25030765,0
4479,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5723,2,153948,-0.5,1,552526,596728,508324,2103,25044476,0
4480,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,1,2,11194,2,614154,-0.5,1,1177181,1259584,1083007,40552,25030849,0
4481,0,2,1,-0.5,Fremont,-2,2,0,1.5,0.5,2,6098,2,596323,-0.5,1,479568,527525,441203,3404,25043696,0
4482,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,-0.5,2,3500,2,783000,-0.5,1,974908,1121144,867668,7830,25030567,0
4483,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5662,2,72075,-0.5,1,649368,701317,603912,2553,25013100,0
4484,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5700,2,101502,-0.5,1,496226,545849,446603,-660,25039792,0
4485,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,-2,2,871,2,246000,-0.5,1,433033,467676,398390,2198,25017396,0
4486,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6490,2,661290,-0.5,1,1337703,1404588,1257441,16801,25023621,0
4487,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,6534,2,735987,-0.5,1,831810,898355,765265,5193,25025925,0
4488,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,1,2,10018,2,450000,-0.5,1,604321,634537,568062,6988,25044702,0
4489,0,2,-0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7500,2,600000,-0.5,1,603129,717724,548847,-5211,25022800,0
4490,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7340,2,355576,-0.5,1,672043,712366,625000,3206,25047030,0
4491,0,2,2,-0.5,Fremont,-2,2,0,1.5,-2,2,871,2,495000,-0.5,1,571721,628893,531701,3208,94687373,0
4492,0,2,1,-0.5,Fremont,-2,2,0,1.5,-1.5,2,1538,2,308160,0.5,1,644233,676445,592694,1073,25016940,0
4493,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,871,2,157080,0.5,1,328565,361421,289137,1346,79535317,0
4494,0,2,1,-0.5,Fremont,-2,2,0,1.5,1,2,11339,2,397297,-0.5,1,866994,971033,797634,14873,25028085,0
4495,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,7405,2,666058,-0.5,1,730163,766671,671750,19951,25018152,0
4496,0,2,2,-0.5,Fremont,-2,2,0,1.5,1,2,10890,2,920000,-0.5,1,813983,911661,748864,-168,25018216,0
4497,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,0,2,4500,2,528000,-0.5,1,624243,674182,586788,3625,25020118,0
4498,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,-2,2,0,2,268000,0.5,1,369845,425322,325464,12383,64966732,0
4499,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5662,2,605811,-0.5,1,861419,921718,792505,1600,25029827,0
4500,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,1,2,8025,2,575000,-0.5,1,679290,720047,611361,7092,25043498,0
4501,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,1,2,8276,2,765370,-0.5,1,871541,923833,810533,-419,25052195,0
4502,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0.5,2,5662,2,314200,-0.5,1,481017,524309,452156,3646,25017751,0
4503,0,2,0.5,-0.5,Fremont,-2,2,0,1.5,0,2,4691,2,499000,-0.5,1,587909,634942,540876,2326,64961963,0
4504,0,2,0,-0.5,Fremont,-2,2,0,1.5,-2,2,958,2,258000,0.5,1,301146,334272,265008,1540,25005685,0
4505,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,2,2,120661,2,350000,1,1,691158,760274,608219,27196,25038423,0
4506,0,2,1.5,-0.5,Fremont,-2,2,0,1.5,-0.5,2,3615,2,433999,-0.5,1,905429,950700,823940,1970,25059319,0
4507,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,8712,2,1100000,-0.5,1,1224003,1321923,1089363,1626,15553771,0
4508,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,5662,2,307679,0.5,1,430817,452358,409276,1787,15639589,0
4509,0,2,2,-0.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,8625,2,460875,-0.5,1,1295558,1399203,1191913,2639,79843859,0
4510,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,-0.5,2,3920,2,525000,-0.5,1,512108,588924,455776,2419,15588331,0
4511,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,8023,2,870000,-0.5,1,1045476,1118659,951383,5049,55007523,0
4512,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,2,2,203511,2,1546973,-0.5,1,1920852,2189771,1479056,-45385,79841555,0
4513,0,2,-0.5,-1.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,8804,2,965000,2,1,1098079,1218868,955329,168074,15588643,0
4514,0,2,2,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,6969,2,1217656,-0.5,1,1212045,1333249,1127202,-11512,15588974,0
4515,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,9583,2,64273,-0.5,1,772261,857210,671867,1514,15570376,0
4516,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,6969,2,1153054,-0.5,1,1250055,1350059,1175052,-781,15588960,0
4517,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0,2,4999,2,111969,-0.5,1,891376,962686,828980,-1592,15553884,0
4518,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,7840,2,1100000,-0.5,1,1301560,1366638,1223466,23480,15553962,0
4519,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,8712,2,952440,-0.5,1,1157065,1214918,1087641,6949,15589199,0
4520,0,2,-0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,-1.5,2,1742,2,57497,0.5,1,353402,417014,275654,-16753,15570647,0
4521,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,5599,2,77008,-0.5,1,672631,733168,605368,-1445,15588614,0
4522,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,6600,2,683164,-0.5,1,991454,1070770,902223,5508,15570113,0
4523,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,-2,2,1306,2,575000,1,1,677377,711246,643508,-1100,15570527,0
4524,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,7199,2,941172,-0.5,1,1001394,1091519,871213,21548,15570412,0
4525,0,2,-0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0,2,4791,2,621134,-0.5,1,656264,715328,610326,6018,15570336,0
4526,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,5662,2,549298,-0.5,1,1019542,1101105,948174,2242,15589215,0
4527,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,5799,2,295631,0.5,1,422266,456047,392707,2561,15639613,0
4528,0,2,0.5,-0.5,HALF MOON BAY,-2,2,-0.5,1.5,1,2,14810,2,360658,-0.5,1,765600,819192,704352,-10341,63158097,0
4529,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,12632,2,834152,-0.5,1,1466668,1833335,1276001,41713,15569932,0
4530,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,6199,2,561816,-0.5,1,667567,707621,627513,15993,15553991,0
4531,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,-2,2,984,2,432840,-0.5,1,607985,638384,559346,10065,15570575,0
4532,0,2,-0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,6000,2,287340,-0.5,1,388747,509259,260460,-48010,15554312,0
4533,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,7405,2,691592,-0.5,1,731826,768417,680598,-1747,15553703,0
4534,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,7100,2,265383,-0.5,1,693277,748739,644748,-4649,15553810,0
4535,0,2,0.5,-0.5,HALF MOON BAY,-2,2,-0.5,1.5,1,2,11282,2,332849,-0.5,1,747453,829673,710080,-1895,15552949,0
4536,0,2,0,-0.5,Half Moon Bay,-2,2,-0.5,1.5,-1.5,2,1533,2,249696,0.5,1,541910,596101,471462,13260,15570682,0
4537,0,2,2,-0.5,HALF MOON BAY,-2,2,-0.5,1.5,1,2,11543,2,1326000,-0.5,1,1129477,1242425,1005235,-9288,82962626,0
4538,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0,2,4914,2,640000,-0.5,1,779383,833940,740414,-5934,15588829,0
4539,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,-2,2,984,2,594100,-0.5,1,610435,640957,579913,3692,15570576,0
4540,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,5963,2,289332,-0.5,1,585721,632579,556435,-3767,15553981,0
4541,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,6272,2,80589,-0.5,1,556180,611798,511686,-1449,15553971,0
4542,0,2,-0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,10000,-2,199581,-0.5,1,639954,703949,582358,-792,15569770,0
4543,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,7405,2,78411,-0.5,1,626096,707488,563486,-7123,15588511,0
4544,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,12554,2,806735,-0.5,1,1197483,1377105,1125634,-1996,15588381,0
4545,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0,2,4999,2,595217,-0.5,1,815451,905151,742060,3708,15569775,0
4546,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,11038,2,1233814,-0.5,1,1023812,1146669,880478,-1847,15553704,0
4547,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,7499,2,1017274,-0.5,1,1114393,1270408,958378,-10746,15589030,0
4548,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,5500,2,535500,-0.5,1,673795,741174,613153,22385,15570140,0
4549,0,2,1.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,6569,2,911504,-0.5,1,837011,912342,795160,-2245,15569860,0
4550,0,2,1,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,6018,2,975000,-0.5,1,846747,931422,795942,-9142,15589214,0
4551,0,2,-0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,5484,2,373066,0.5,1,426524,447850,400933,-452,15639511,0
4552,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,7840,2,641848,-0.5,1,917914,1046422,835302,6698,15589022,0
4553,0,2,2,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,6969,2,1346676,-0.5,1,1409507,1479982,1324937,-4245,15588933,0
4554,0,2,2,-0.5,Half Moon Bay,-2,2,-0.5,1.5,1,2,8712,2,1271774,-0.5,1,1160298,1264725,1090680,-783,15569913,0
4555,0,2,0.5,-0.5,Half Moon Bay,-2,2,-0.5,1.5,0.5,2,6299,2,599462,-0.5,1,671658,711957,617925,-985,15553972,0
