v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23
41,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1750,2,159054,-0.5,0,744113,811083,677143,-13530,15163221,0
42,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2996,2,111219,-0.5,0,813617,951932,740391,-15466,15120285,0
43,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3715,2,68410,-0.5,0,642503,738878,565403,83,15196109,0
44,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,54747,-0.5,0,785621,864183,722771,-20111,15137820,0
45,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,0,2,4056,2,62429,-0.5,0,618592,680451,531989,-2549,15157010,0
46,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1750,2,810106,-0.5,0,1080974,1199881,951257,408,15162298,0
47,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2613,2,83439,-0.5,0,983482,1071995,865464,17721,15096449,0
48,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3644,2,1477367,-0.5,0,1625470,1804272,1300376,24160,15199407,0
49,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3628,2,624447,-0.5,0,1005320,1125958,884682,-9623,15140829,0
50,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3249,2,975000,-0.5,0,1032857,1198114,929571,-15673,15134336,0
51,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,-2,0,-0.5,0,1324976,1775468,874484,31958,2130899304,0
52,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,1161038,0.5,0,1129172,1253381,971088,28000,80740269,0
53,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,0,2,4996,2,760000,-0.5,0,849117,900064,781188,11203,15190019,0
54,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2346,2,508969,-0.5,0,2049019,2438333,1659705,4182,15084670,0
55,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2482,2,40481,-0.5,0,638491,702340,581027,2329,15177355,0
56,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1751,2,338130,-0.5,0,485081,543291,422020,11257,15172649,0
57,0,2,0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-2,2,1267,2,181138,1.5,0,1948690,2474836,1558952,-29671,15067776,0
58,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1520,2,53427,-0.5,0,2204434,2513055,1873769,71237,15075738,0
59,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,2441463,-0.5,0,2822834,3443858,2145354,-141817,15070733,0
60,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,0,2,4500,2,418200,-0.5,0,527533,596112,448403,1200,15172292,0
61,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3301,2,861807,-0.5,0,923439,1015783,821861,28459,15197940,0
62,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2875,2,1733300,1,0,1899397,2089337,1652475,126362,15143629,0
63,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3000,2,680000,-0.5,0,677705,786138,576049,3138,15110028,0
64,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1750,2,1040514,-0.5,0,1047779,1204946,869657,-5492,15161442,0
65,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,-2,0,0.5,0,696569,912505,515461,0,2109113075,0
66,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2500,2,1153054,-0.5,0,1425770,1582605,1254678,-1330,15184392,0
67,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2103,2,41788,-0.5,0,605214,653631,562849,-6047,15178918,0
68,0,2,1,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1716,2,802433,-0.5,0,1094709,1215127,963344,45624,15078198,0
69,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2186,2,981656,-0.5,0,1686048,1972676,1348838,-12947,15085118,0
70,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3001,2,1049913,-0.5,0,1231727,1367217,1071602,94686,15097348,0
71,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,80606,-0.5,0,664903,731393,605062,25965,15155050,0
72,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,0.5,2,5144,2,381850,0.5,0,847888,924198,729184,2355,96021824,0
73,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,112528,-0.5,0,499114,539043,459185,-1212,15195564,0
74,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3073,2,852697,-0.5,0,1219048,1353143,1072762,18989,15184509,0
75,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,1375304,0.5,0,1302376,1640994,1067948,-80638,15072895,0
76,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3420,2,154656,0.5,0,718932,805204,654228,-23186,96013530,0
77,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,0,2,4508,2,1546142,-0.5,0,1745401,2024665,1483591,25138,15136711,0
78,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1759,2,385025,-0.5,0,900485,1026553,747403,18865,15162592,0
79,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,160910,-0.5,0,1115100,1182006,1025892,29478,15164332,0
80,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2400,2,242911,-0.5,0,845051,954908,726744,16489,15150277,0
81,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3005,2,333587,-0.5,0,516940,568634,470415,7737,15168211,0
82,0,2,0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3000,2,56113,-0.5,0,691091,774022,621982,6340,15116587,0
83,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,1132639,1.5,0,1432408,1661593,1231871,60330,96015573,0
84,0,2,1,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3023,2,2639479,-0.5,0,2258576,2439262,2010133,63660,15129144,0
85,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3001,2,326460,-0.5,0,686162,789086,631269,-12156,15108474,0
86,0,2,1,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3310,2,400826,-0.5,0,1815578,1997136,1579553,3476,15143656,0
87,0,2,0,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3001,2,164925,-0.5,0,433519,528893,351150,-3081,15171922,0
88,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,608000,0.5,0,775337,868377,682297,-16624,114315854,0
89,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1746,2,540600,-0.5,0,1084530,1268900,911005,73670,15162326,0
90,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2438,2,2749075,-0.5,0,3622762,4311087,3188031,-63898,15064556,0
91,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2848,2,1411367,-0.5,0,1812642,2102665,1522619,5098,15180202,0
92,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,44039,-0.5,0,590554,655515,496065,595,15193551,0
93,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,804560,0.5,0,892815,1008881,767821,-2342,61288394,0
94,0,2,0,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1750,2,909996,-0.5,0,966495,1150129,734536,-24456,15160331,0
95,0,2,0,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,877200,0.5,0,1122959,1246484,988204,15474,54854526,0
96,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2500,2,1023994,-0.5,0,826556,934008,719104,-25284,15134922,0
97,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,829160,0.5,0,962889,1107322,818456,55018,15149479,0
98,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2374,2,1540000,-0.5,0,2338692,2642722,2104823,162220,15087055,0
99,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3025,2,555123,-0.5,0,1438736,1697708,1150989,104373,15084892,0
